inner,answer,object,name
Vessel,San Francisco,Jason Kilar,companies
History of Medicine Society,London,William Osler,companies
id Software,Richardson,Adrian Carmack,companies
Prince Salman Center for Disability Research,Riyadh,Salman of Saudi Arabia,companies
Q8249126,Orange County,Cashis,companies
YouTube,San Bruno,Steve Chen,companies
Middle East Forum,Philadelphia,Daniel Pipes,companies
Bangladesh Jamaat-e-Islami,Dhaka,Abul Ala Maududi,companies
E. Remington and Sons,United States of America,Eliphalet Remington,companies
Hydro-Québec,Hydro-Québec Building,Adélard Godbout,companies
Amway,Michigan,Jay Van Andel,companies
Hulu,Santa Monica,Jason Kilar,companies
Doosan Škoda Power,Plzeň,Emil Škoda,companies
ATO Records,New York City,Dave Matthews,companies
Gainax,Mitaka,Takami Akai,companies
Mitsubishi,Tokyo,Iwasaki Yatarō,companies
Polaroid Corporation,Concord,Edwin H. Land,companies
Department of Conservation,Wellington,David Lange,companies
National Liberal Party,Beirut,Camille Chamoun,companies
Société de statistique de Paris,Paris,Louis-René Villermé,companies
Valentino SpA,Milan,Valentino Garavani,companies
"Peace, Unity, and Development Party",Hargeisa,Muuse Biixi  Cabdi,companies
Sierra Club,San Francisco,John Muir,companies
Martin-Baker,Denham,Valentine Baker,companies
Škoda Works,Plzeň,Emil Škoda,companies
"Facebook, Inc.",Menlo Park,Dustin Moskovitz,companies
The Ladd Company,Hollywood,"Alan Ladd, Jr.",companies
Club Med,France,Gérard Blitz,companies
Club Med,Paris,Gérard Blitz,companies
Fourth Wall Studios,United States of America,Sean Stewart,companies
Constitutional Democratic Party,Saint Petersburg,Pavel Milyukov,companies
Dick Clark Productions,Santa Monica,Dick Clark,companies
YouTube,San Bruno,Chad Hurley,companies
General Mills,Golden Valley,Cadwallader C. Washburn,companies
L'Oréal,Paris,Eugène Schueller,companies
Echelon Corporation,San Jose,Mike Markkula,companies
State Security Presidium,Riyadh,Salman of Saudi Arabia,companies
Facebook,Menlo Park,Dustin Moskovitz,companies
Remington Arms,Madison,Eliphalet Remington,companies
Knights Templar,Temple Mount,André de Montbard,companies
Communist Party of China,Zhongnanhai,Li Dazhao,companies
RCA Records,New York City,Eldridge R. Johnson,companies
INFORM,London School of Economics and Political Science,Eileen Barker,companies
People for the Ethical Treatment of Animals,Norfolk,Alex Pacheco,companies
Social Democratic Party of Austria,Vienna,Victor Adler,companies
Consolidated Talking Machine Company,Philadelphia,Eldridge R. Johnson,companies
"Bent, St. Vrain & Company",St. Louis,Charles Bent,companies
FontShop International,Berlin,Neville Brody,companies
International Crisis Group,Brussels,George John Mitchell Jr.,companies
Victor Talking Machine Company,Camden,Eldridge R. Johnson,companies
National Széchényi Library,Buda Castle,Ferenc Széchényi,companies
Asana,San Francisco,Dustin Moskovitz,companies
A. Film A/S,Copenhagen,Stefan Fjeldmark,companies
Communist Party of China,Zhongnanhai,Chen Duxiu,companies
Westboro Baptist Church,Topeka,Fred Phelps,companies
Associazione Calcio Milan,Milan,Herbert Kilpin,companies
Félibrige,Aix-en-Provence,Paul Giéra,companies
Commodore International,West Chester,Jack Tramiel,companies
Marussia Motors,Moscow,Nikolai Fomenko,companies
Kurdistan Democratic Party,Erbil,Mustafa Barzani,companies
Magnum Photos,Paris,David Seymour,companies
North West Company,Montreal,Benjamin Frobisher,companies
On-U Sound Records,London,Adrian Sherwood,companies
Russian Party of Life,Moscow,Sergey Mironov,companies
Axel Springer SE,Berlin,Axel Springer,companies
Oratory of Saint Philip Neri,Rome,Philip Neri,companies
Royal Czech Society of Sciences,Prague,Joseph von Sonnenfels,companies
Azanian People's Organisation,Johannesburg,Steve Biko,companies
Grand Hustle Records,Atlanta,T.I.,companies
Liberal Democrats,Rome,Lamberto Dini,companies
American Jewish Joint Distribution Committee,New York City,Jacob Schiff,companies
Q66715656,Hamburg,Johann Georg Büsch,companies
Nationalist Party (Greece),Athens,Dimitrios Gounaris,companies
Wolf Foundation,Israel,Ricardo Wolf,companies
Goldzweig,Berlin,Sido,companies
Uganda People's Congress,Kampala,Apollo Milton Obote,companies
Dell Inc.,Round Rock,Michael Dell,companies
Friedrich Naumann Foundation,Potsdam,Reinhold Maier,companies
Le Père Duchesne,Paris,Jacques Hébert,companies
Daimler Manufacturing Company,New York City,William Steinway,companies
African Democratic Rally,Bamako,Félix Houphouët-Boigny,companies
Suez Canal Company,Ismaïlia,Ferdinand de Lesseps,companies
Boeing Commercial Airplanes,Chicago,William Boeing,companies
World Wide Pictures,Minneapolis,Billy Graham,companies
Asmodaios,Athens,Emmanuel Rhoides,companies
United People's Freedom Alliance,Colombo,Chandrika Kumaratunga,companies
Fanmi Lavalas,Port-au-Prince,Jean-Bertrand Aristide,companies
Democratic Party of Côte d'Ivoire – African Democratic Rally,Abidjan,Félix Houphouët-Boigny,companies
Q47530432,Ancona,Errico Malatesta,companies
Jumbo,Santiago,Horst Paulmann,companies
Friedrich Naumann Foundation,Truman-Villa,Reinhold Maier,companies
Boeing,Chicago,William Boeing,companies
Q3226113,Paris,Jacques Hébert,companies
Gesellschaft zur Beförderung gemeinnütziger Tätigkeit,Lübeck,Christian Adolph Overbeck,companies
Philles Records,Philadelphia,Phil Spector,companies
Liberal Party of Australia,Canberra,Robert Menzies,companies
National Single Party of the Workers,Malabo,Francisco Macías Nguema,companies
Nativ,Tel Aviv,Moshe Sharett,companies
The Carter Center,Atlanta,Rosalynn Carter,companies
The Oslo Center,Oslo,Kjell Magne Bondevik,companies
Grotrian-Steinweg,Brunswick,C.F. Theodore Steinway,companies
Grotrian-Steinweg,Brunswick,Henry E. Steinway,companies
Blüthner,Großpösna,Julius Blüthner,companies
Scientology,Gold Base,L. Ron Hubbard,companies
Great Western Railway,London Paddington station,Isambard Kingdom Brunel,companies
Military Service Council,Riyadh,Khalid of Saudi Arabia,companies
United Aircraft and Transport Corporation,Hartford,William Boeing,companies
New York Symphony Orchestra,New York City,Leopold Damrosch,companies
Paeria de Lleida,La Paeria,James I of Aragon,companies
Evangelische Michaelsbruderschaft,University Church of Marburg,Karl Bernhard Ritter,companies
Anheuser-Busch,St. Louis,Eberhard Anheuser,companies
Blue Note Records,Los Angeles,Francis Wolff,companies
Labour Party,Dublin,James Connolly,companies
Calvin Klein Inc,New York City,Calvin Klein,companies
Steinway & Sons,Queens,Henry E. Steinway,companies
Steinway & Sons,Hamburg,Henry E. Steinway,companies
American Jewish Joint Distribution Committee,New York City,Felix M. Warburg,companies
International Metalworking Companies,Galilee,Stef Wertheimer,companies
Panhellenic Socialist Movement,Athens,Andreas Papandreou,companies
Animals Australia,Melbourne,Peter Singer,companies
Critique,Paris,Georges Bataille,companies
Documents,Paris,Georges Bataille,companies
ISCAR Metalworking,Western Galilee,Stef Wertheimer,companies
Inspiration Mars Foundation,United States of America,Dennis Tito,companies
Bild,Berlin,Axel Springer,companies
Madame Tussauds,London,Marie Tussaud,companies
Xansa,United Kingdom,Steve Shirley,companies
Creative Commons,Mountain View,Lawrence Lessig,companies
The Living Theatre,New York City,Judith Malina,companies
Desilu Productions,Los Angeles,Lucille Ball,companies
Yahoo,Sunnyvale,Jerry Yang,companies
IKEA,Delft,Ingvar Kamprad,companies
Council on Foreign Relations,Harold Pratt House,Otto Hermann Kahn,companies
Goldman Sachs,200 West Street,Marcus Goldman,companies
The Oz Film Manufacturing Company,Los Angeles,L. Frank Baum,companies
Radiodiffusion Nationale,Paris,Édouard Daladier,companies
Wikia,San Mateo,Angela Beesley Starling,companies
Wikia,San Francisco,Angela Beesley Starling,companies
AEG,Berlin,Emil Rathenau,companies
Alexander McQueen,London,Alexander McQueen,companies
AEG,Frankfurt,Emil Rathenau,companies
Democratic and Social Centre,Madrid,Adolfo Suárez,companies
University of Erlangen-Nuremberg,Erlangen,Frederick,companies
Diederichs Verlag,Munich,Eugen Diederichs,companies
Union of the Democratic Centre,Madrid,Adolfo Suárez,companies
Lone Star Brewing Company,San Antonio,Adolphus Busch,companies
Quantic Dream,Paris,David Cage,companies
Oratorio Society of New York,New York City,Leopold Damrosch,companies
Patriotic Unity,Port-au-Prince,René Préval,companies
Ralph Lauren Corporation,New York City,Ralph Lauren,companies
The Other Russia,Moscow,Eduard Limonov,companies
Cato Institute,"Washington, D.C.",Murray Rothbard,companies
Seva Foundation,Berkeley,Ram Dass,companies
San Albianaskal,Buenos Aires,Hipólito Yrigoyen,companies
Estée Lauder Companies,New York City,Estée Lauder,companies
Mutant Enemy Productions,Los Angeles,Joss Whedon,companies
Democrats 66,The Hague,Hans van Mierlo,companies
Pemex,Mexico City,Lázaro Cárdenas,companies
Société astronomique de France,Paris,Camille Flammarion,companies
Alliance Party,Kuala Lumpur,Tunku Abdul Rahman,companies
Hamas,Gaza City,Abdel Aziz al-Rantissi,companies
CEC Bank,CEC Palace,Alexandru Ioan Cuza,companies
National Association of Colored Women's Clubs,"Washington, D.C.",Ida B. Wells,companies
Groupe Capitales Médias,Quebec City,Martin Cauchon,companies
Q16010780,Paris,Jean-Marie Charpentier,companies
Daughters of Jesus,Rome,Candida Maria of Jesus,companies
University of Bucharest,Bucharest,Alexandru Ioan Cuza,companies
Q1804627,Moscow,Alexander Lebed,companies
National Bolshevik Party,Moscow,Eduard Limonov,companies
Public Library of Science,Levi's Plaza,Harold E. Varmus,companies
The Washington Times,"Washington, D.C.",Sun Myung Moon,companies
Alexandru Ioan Cuza University,Iași,Alexandru Ioan Cuza,companies
Military Intelligence Directorate,Tel Aviv,Chaim Herzog,companies
Radiant Records,United States of America,Neal Morse,companies
Imperial Guard,Tokyo,Yamagata Aritomo,companies
Brushfire Records,Los Angeles,Jack Johnson,companies
Knights Templar,Temple Mount,Hugues de Payens,companies
Kingdom Holding Company,Riyadh,Al-Waleed bin Talal,companies
La Presse,Paris,Émile de Girardin,companies
Bellwether Pictures,Los Angeles,Joss Whedon,companies
De Laurentiis Entertainment Group,Wilmington,Dino De Laurentiis,companies
"Institut des sciences sociales, économiques et politiques",Lyon,Marion Maréchal,companies
Renault,Boulogne-Billancourt,Louis Renault,companies
Ritsumeikan University,Kyoto,Saionji Kinmochi,companies
Patanjali Ayurved,Haridwar,Ramdev,companies
Castle Rock Entertainment,United States of America,Rob Reiner,companies
Nation Party of Iran,Tehran,Dariush Forouhar,companies
Q4199957,Seoul,Sun Myung Moon,companies
Georg Jensen A/S,Copenhagen,Georg Jensen,companies
"Vi Senior Living, Classic Residence",Chicago,Penny Pritzker,companies
BME Recordings,Atlanta,Lil Jon,companies
King Features Syndicate,New York City,William Randolph Hearst,companies
Ashikaga shogunate,Muromachi Palace,Ashikaga Takauji,companies
John D. and Catherine T. MacArthur Foundation,Chicago,John D. MacArthur,companies
Q4051506,United States of America,Sun Myung Moon,companies
Grey Nuns,Montreal,Marguerite d'Youville,companies
John D. and Catherine T. MacArthur Foundation,Marquette Building,John D. MacArthur,companies
Lee Strasberg Theatre and Film Institute,Manhattan,Lee Strasberg,companies
Q4460598,Daegu,Sun Myung Moon,companies
Golden Boy Promotions,Los Angeles,Oscar De La Hoya,companies
"Academy of Medicine, Engineering and Science of Texas",Austin,Michael Stuart Brown,companies
Q4046976,South Korea,Sun Myung Moon,companies
Q4199948,South Korea,Sun Myung Moon,companies
Q4288515,South Korea,Sun Myung Moon,companies
Q4385007,South Korea,Sun Myung Moon,companies
Q4491675,South Korea,Sun Myung Moon,companies
Mises Institute,Auburn,Murray Rothbard,companies
Hearst,Hearst Tower,William Randolph Hearst,companies
Trew Era Cafe,London,Russell Brand,companies
Maybach Music Group,Miami,Rick Ross,companies
Game Freak,Setagaya-ku,Satoshi Tajiri,companies
Cosmopolitan Productions,New York City,William Randolph Hearst,companies
Llama Company,Fayetteville,Alice Walton,companies
Democratic Unionist Party,Belfast,Ian Paisley,companies
Raytheon,Waltham,Vannevar Bush,companies
"Herzog, Fox & Ne'eman",Tel Aviv,Chaim Herzog,companies
International Oceanic Enterprises Inc,United States of America,Sun Myung Moon,companies
Birdhouse Skateboards,Vista,Tony Hawk,companies
Movement for Multi-Party Democracy,Lusaka,Frederick Chiluba,companies
Fender Musical Instruments Corporation,Scottsdale,Leo Fender,companies
Embratel,Rio de Janeiro,Humberto de Alencar Castelo Branco,companies
Committee for Skeptical Inquiry,Amherst,James Randi,companies
Women's Equality Party,Brixton,Sandi Toksvig,companies
G&L Musical Instruments,Fullerton,Leo Fender,companies
James Randi Educational Foundation,Falls Church,James Randi,companies
International Olympic Committee,Lausanne,Demetriοs Vikelas,companies
"Herzog, Fox & Ne'eman",Beit Asia,Chaim Herzog,companies
Project Reason,United States of America,Sam Harris,companies
Compañía Anónima Venezolana de Industrias Militares,Caracas,Carlos Andrés Pérez,companies
Jasad,Beirut,Joumana Haddad,companies
National Council of Negro Women,Central National Bank,Mary McLeod Bethune,companies
Guimet Museum,Paris,Émile Étienne Guimet,companies
Panhard,Marolles-en-Hurepoix,Émile Levassor,companies
Q16303413,Paris,Éric Fottorino,companies
MicroProse,Hunt Valley,Bill Stealey,companies
Indian Thought Publications,Chennai,R. K. Narayan,companies
Bank of England,London,"Charles Montagu, 1st Earl of Halifax",companies
Vandenhoeck & Ruprecht,Göttingen,Abraham Vandenhoeck,companies
Social Democratic and Labour Party,Belfast,Gerry Fitt,companies
Crédit Lyonnais,Lyon,Henri Germain,companies
Akademiska Sångföreningen,Helsinki,Fredrik Pacius,companies
Q2867948,Ambérieu-en-Bugey,Philippe Lejeune,companies
One Laptop per Child,Miami,Seymour Papert,companies
Thomas Cook Group,United Kingdom,Thomas Cook,companies
Thomas Cook Group,Peterborough,Thomas Cook,companies
Mayo Clinic,Rochester,William James Mayo,companies
Global Warming Policy Foundation,55 Tufton Street,Nigel Lawson,companies
South-West Africa People's Organization,Windhoek,Andimba Toivo ya Toivo,companies
The Hollywood Vampires,Rainbow Bar and Grill,Alice Cooper,companies
Pernod Ricard,Paris,Paul Ricard,companies
Apple Inc.,Cupertino,Ronald Wayne,companies
Thermidorians,Q19387969,"Paul François Jean Nicolas, vicomte de Barras",companies
Medici Bank,Florence,Giovanni di Bicci de' Medici,companies
Amitié judéo-chrétienne de France,Paris,Jules Isaac,companies
Prestige Records Inc.,New York City,Bob Weinstock,companies
Yakovlev,Moscow,Alexander Sergeyevich Yakovlev,companies
Russian-American Company,Saint Petersburg,Nikolai Rezanov,companies
Daily Mail,London,"Alfred Harmsworth, 1st Viscount Northcliffe",companies
Veritas,London,Robert Kilroy-Silk,companies
Chuck E. Cheese,Irving,Nolan Bushnell,companies
Elswick Ordnance Company,Newcastle upon Tyne,"William Armstrong, 1st Baron Armstrong",companies
Girard Bank,Philadelphia,Stephen Girard,companies
Jatiya Oikyafront,Dhaka,Kamal Hossain,companies
Alternative Tentacles,San Francisco,Jello Biafra,companies
Labour Leader,London,Keir Hardie,companies
Q69404174,Paris,Henri Cernuschi,companies
Russian-American Company,Moyka River,Nikolai Rezanov,companies
Transparency International,Berlin,Kamal Hossain,companies
Hezbollah,Beirut,Mohammad Hussein Fadlallah,companies
Prestige Records Inc.,Bergenfield,Bob Weinstock,companies
Democratic Revolutionary Party,Panama City,Omar Torrijos,companies
Economic Policy Institute,"Washington, D.C.",Lester Thurow,companies
Ricard,Marseille,Paul Ricard,companies
Austin Motor Company,Birmingham,"Herbert Austin, 1st Baron Austin",companies
Socialist Party of America,"Washington, D.C.",Eugene V. Debs,companies
University College London,UCL Main Building,"Henry Brougham, 1st Baron Brougham and Vaux",companies
Sun Microsystems,Santa Clara,Bill Joy,companies
Sense About Science,London,Dick Taverne,companies
"The North Face, Inc.",San Francisco,Douglas Tompkins,companies
"Bertram Grosvenor Goodhue, Architect",New York City,Bertram Goodhue,companies
Partido Ortodoxo,Havana,Eduardo Chibás,companies
Armstrong Whitworth,Manchester,"William Armstrong, 1st Baron Armstrong",companies
Islamic State of Iraq and the Levant,Raqqa,Abu Ayyub al-Masri,companies
El Universal,Caracas,Andrés Mata,companies
Arsenal F.C.,London,David Danskin,companies
Robert Stephenson and Company,Newcastle upon Tyne,Robert Stephenson,companies
Daiei,Kōbe,Isao Nakauchi,companies
Paramount Pictures,Los Angeles,William Wadsworth Hodkinson,companies
Thomas Cook and Son,London,Thomas Cook,companies
Motovilikha Plants,Perm,Vasily Tatishchev,companies
Phalanx,Bavaria,Hermann Obrist,companies
Plaxo,Sunnyvale,Sean Parker,companies
American Legion,Indianapolis,A. Piatt Andrew,companies
KeyEast,Seoul,Bae Yong-joon,companies
Future Italy,Rome,Luca Cordero di Montezemolo,companies
Pergamon Press,Oxford,Robert Maxwell,companies
Ferrovial,calle del Príncipe de Vergara,Rafael del Pino,companies
Sisters of Loretto,Nerinx,Charles Nerinckx,companies
Seversky Pipe Plant,Polevskoy,Vasily Tatishchev,companies
Société foncière lyonnaise,Paris,Henri Germain,companies
Büssing,Brunswick,Heinrich Büssing,companies
Büssing,Munich,Heinrich Büssing,companies
Four Per Cent Industrial Dwellings Company,London,"Nathan Rothschild, 1st Baron Rothschild",companies
Basque Nationalist Party,Sabin Etxea,Sabino Arana,companies
Prestige Record Co.,New York City,Bob Weinstock,companies
New Acropolis,Brussels,Jorge Ángel Livraga Rizzi,companies
Roche-Dinkeloo,Hamden,Kevin Roche,companies
Revere Copper Company,Canton,Paul Revere,companies
Solid Rock Foundation,Arizona,Alice Cooper,companies
Wolseley Motor Company,Birmingham,"Herbert Austin, 1st Baron Austin",companies
Mathis,Strasbourg,Émile Mathis,companies
International Institute for Strategic Studies,London,Denis Healey,companies
Huntsman Corporation,Salt Lake City,Jon Huntsman Sr.,companies
London School of Economics and Political Science,London,Sidney Webb,companies
Wunderbar Films,Chennai,Dhanush,companies
Peace Research Institute Oslo,Oslo,Johan Galtung,companies
Thomas Cook (India) Limited,Mumbai,Thomas Cook,companies
Iso Rivolta,Bresso,Renzo Rivolta,companies
Medellín Cartel,Medellín,Fabio Ochoa Vásquez,companies
St Catherine's College,Oxford,Alan Bullock,companies
Rak Records,London,Mickie Most,companies
"Atari, Inc.",Sunnyvale,Nolan Bushnell,companies
Hornby Railways,Margate,Frank Hornby,companies
Q3533352,Robecco d'Oglio,Bruno Müller,companies
Fraternity of Saint Vincent Ferrer,Q27876822,Louis-Marie de Blignières,companies
Independent News & Media,Dublin,William Martin Murphy,companies
"Blake, Cassels & Graydon",Toronto,Edward Blake,companies
Union for Trentino,Trento,Lorenzo Dellai,companies
Meccano Ltd,Liverpool,Frank Hornby,companies
"Blake, Cassels & Graydon",Commerce Court,Edward Blake,companies
Mediobanca,Milan,Enrico Cuccia,companies
Académie nationale de chirurgie,6th arrondissement of Paris,Georges Mareschal,companies
Milkyway Image,Hong Kong,Johnnie To,companies
Tata Motors,Mumbai,J. R. D. Tata,companies
Hartford Female Seminary,Connecticut,Catharine Beecher,companies
Reliance Communications,Navi Mumbai,Dhirubhai Ambani,companies
Southern Lord Records,Los Angeles,Greg Anderson,companies
Match TV,Olympic Avenue,Alexey Miller,companies
Democratic People's Union,Velika Kladuša,Fikret Abdić,companies
Mathmos,London,Edward Craven Walker,companies
Hyundai Engineering and Construction,Seoul,Chung Ju-yung,companies
Soka University of America,Aliso Viejo,Daisaku Ikeda,companies
"Casablanca Records, Inc.",Los Angeles,Neil Bogart,companies
One Nation,Albion,Pauline Hanson,companies
Cris Morena Group,Buenos Aires,Cristina Morena,companies
Soka Gakkai International,Tokyo,Daisaku Ikeda,companies
Kate Spade & Company,New York City,Liz Claiborne,companies
VTSIOM,Moscow,Tatiana Zaslavskaya,companies
VTSIOM,Russia,Tatiana Zaslavskaya,companies
Gesher,Tel Aviv,Orly Levy,companies
Kawasaki Heavy Industries Ship & Offshore Structure Company,Kōbe,Kawasaki Shōzō,companies
Black Sun Press,Paris,Caresse Crosby,companies
Farrells,London,Terry Farrell,companies
Farrells,Hong Kong,Terry Farrell,companies
Coamix,Tokyo,Tsukasa Hōjō,companies
Q3598104,Rome,Alessandro Benetton,companies
Rotary International,Evanston,Paul P. Harris,companies
Freedom & Roam Uganda,Kampala,Kasha Nabagesera,companies
Hadassah Women's Zionist Organization of America,New York City,Henrietta Szold,companies
Les Éditions de Minuit,Paris,Jean Bruller,companies
Eternal Word Television Network,Irondale,Mother Angelica,companies
Pargesa Holding,Geneva,Albert Frère,companies
Israel Council on Foreign Relations,Jerusalem,David Kimche,companies
Courrèges,Paris,André Courrèges,companies
Zend Technologies,Cupertino,Andi Gutmans,companies
Jatiya Party,Dhaka,Hussain Muhammad Ershad,companies
"National Institute of Grape and Wine ""Magarach""",Yalta,Mikhail Semyonovich Vorontsov,companies
Order of the Blessed Virgin Mary of Mercy,Rome,Peter Nolasco,companies
Spanish Communist Workers' Party,Seville,Enrique Líster,companies
VII Photo Agency,New York City,Alexandra Boulat,companies
Silverstein Properties,7 World Trade Center,Larry Silverstein,companies
The 3DO Company,Redwood City,Trip Hawkins,companies
Carmel Winery,Rishon LeZion,Edmond James de Rothschild,companies
Yuzhnoye Design Office,Dnipro,Mikhail Yangel,companies
Fine Gael,Dublin,W. T. Cosgrave,companies
Human Rights Foundation,Americas,Thor Halvorssen Mendoza,companies
Institutional Republican Party,Guatemala City,Efraín Ríos Montt,companies
Democratic Union,Moscow,Valeriya Novodvorskaya,companies
Pakistan Muslim League (F),Islamabad,Fatima Jinnah,companies
Casablanca Records,Los Angeles,Neil Bogart,companies
Bill & Melinda Gates Foundation,Seattle,Melinda Gates,companies
Neue Künstlervereinigung München,Bavaria,Marianne von Werefkin,companies
Alfabeta,Milan,Nanni Balestrini,companies
Democratic Party,Sofia,Petko Karavelov,companies
Isabella Stewart Gardner Museum,Boston,Isabella Stewart Gardner,companies
Hyundai,Seoul,Chung Ju-yung,companies
Hyundai Motor Company,Seoul,Chung Ju-yung,companies
Corrente di Vita,Milan,Ernesto Treccani,companies
Biograph Company,New York City,William Kennedy Dickson,companies
Zveno,Sofia,Kimon Georgiev,companies
L'Année philologique,Paris,Jules Marouzeau,companies
El Nuevo Siglo,Bogotá,Laureano Gómez,companies
Kuwana Domain,Kuwana Castle,Honda Tadakatsu,companies
Liberal Party (Bulgaria),Sofia,Petko Karavelov,companies
Finnish Orthodox Church,Kuopio,Tikhon of Moscow,companies
Tzu Chi,Taiwan Island,Cheng Yen,companies
Spicy Horse,Shanghai,American McGee,companies
Biocon,Bangalore,Kiran Mazumdar-Shaw,companies
Self-Employed Women's Association of India,Ahmedabad,Ela Bhatt,companies
Humanity+,Los Angeles,Nick Bostrom,companies
Digital Chocolate,San Mateo,Trip Hawkins,companies
Order of the Star in the East,Varanasi,Annie Besant,companies
Divine Life Society,Rishikesh,Sivananda Saraswati,companies
"Clinique Laboratories, LLC",New York,Evelyn Lauder,companies
DKNY,New York City,Donna Karan,companies
Air India,New Delhi,J. R. D. Tata,companies
Banque privée Edmond de Rothschild,Geneva,Edmond James de Rothschild,companies
Moving Picture Institute,New York City,Thor Halvorssen Mendoza,companies
Kawasaki Heavy Industries,Kobe Crystal Tower,Kawasaki Shōzō,companies
Cabin Fever Media,Sweden,Niklas Sundin,companies
Neue Künstlervereinigung München,Bavaria,Gabriele Münter,companies
Women's World Banking,New York City,Ela Bhatt,companies
Revolutionary Association of the Women of Afghanistan,Quetta,Meena Keshwar Kamal,companies
American Civil Liberties Union,New York City,Elizabeth Gurley Flynn,companies
Key,Ōsaka,Itaru Hinoue,companies
Kataeb Party,Beirut,Pierre Gemayel,companies
Reliance Communications,Mumbai,Dhirubhai Ambani,companies
Clean Slate Films,Mumbai,Anushka Sharma,companies
Areva,Paris,Anne Lauvergeon,companies
Appaloosa Management,Short Hills,David Tepper,companies
Ōtaki Domain,Ōtaki Castle,Honda Tadakatsu,companies
Areva,Courbevoie,Anne Lauvergeon,companies
Children's Miracle Network Hospitals,Salt Lake City,Marie Osmond,companies
Match TV,Ostankino Technical Center,Alexey Miller,companies
Obras Sociais Irmã Dulce,Salvador,Irmã Dulce Pontes,companies
UpCodes,San Francisco,Scott Reynolds,companies
Electronic Arts,Redwood City,Trip Hawkins,companies
Sisters of St. Ann,Rome,Juliette Colbert de Barolo,companies
Sisters of Charity of New York,New York City,Elizabeth Ann Seton,companies
Funny or Die,San Mateo,Will Ferrell,companies
Thawte Consulting,Cape Town,Mark Shuttleworth,companies
Michael & Susan Dell Foundation,West Lake Hills,Michael Dell,companies
Jedburgh Abbey,Jedburgh,David I of Scotland,companies
Bad Hat Harry Productions,Sony Pictures Studios,Bryan Singer,companies
Serbian Progressive Party,Belgrade,Aleksandar Vučić,companies
United Seychelles Party,Victoria,France-Albert René,companies
INGKA Holding,Leiden,Ingvar Kamprad,companies
Q66587113,Halle (Saale),Johannes Kaempf,companies
Jedburgh Abbey,Scottish Borders,David I of Scotland,companies
Hustler Video,United States of America,Larry Flynt,companies
FRELIMO,Maputo,Samora Moisés Machel,companies
Biogen,Cambridge,Walter Gilbert,companies
Dell,Round Rock,Michael Dell,companies
World Association of Girl Guides and Girl Scouts,London,Olave Baden-Powell,companies
MVRDV,Rotterdam,Jacob van Rijs,companies
Citroën,Paris,André Citroën,companies
Mia Hamm Foundation,Chapel Hill,Mia Hamm,companies
Shingon Buddhism,Q10437732,Kūkai,companies
Ubisoft Toronto,Toronto,Jade Raymond,companies
St. Xavier High School,Springfield Township,Edward Fenwick,companies
St. Xavier High School,Cincinnati,Edward Fenwick,companies
Center for Economic and Policy Research,"Washington, D.C.",Dean Baker,companies
Jerry Bruckheimer Films,United States of America,Jerry Bruckheimer,companies
Bad Boy Records,"Washington, D.C.",Sean Combs,companies
W. Chump & Sons Ltd,Chiswick,Jeremy Clarkson,companies
Sean John,United States of America,Sean Combs,companies
Yankee Global Enterprises,New York City,George Steinbrenner,companies
Christ's College,Cambridge,Lady Margaret Beaufort,companies
Mistral Air,Rome,Bud Spencer,companies
Bedder 6,London,Jeremy Clarkson,companies
Church of Scientology,Gold Base,L. Ron Hubbard,companies
El Pueblo,Valencia,Vicente Blasco Ibañez,companies
Dunlop Tyres,Hanau,John Boyd Dunlop,companies
Positive Slovenia,Ljubljana,Zoran Janković,companies
Hustler,Beverly Hills,Larry Flynt,companies
Emigre,Berkeley,Zuzana Licko,companies
Democratic Party of Vojvodina Hungarians,Temerin,András Ágoston,companies
Larry Flynt Publications,Beverly Hills,Larry Flynt,companies
Bajaj Finserv,Pune,Jamnalal Bajaj,companies
Muslim World League,Saudi Arabia,Faisal of Saudi Arabia,companies
Ikano Bank,Älmhult,Ingvar Kamprad,companies
Dell Technologies,Round Rock,Michael Dell,companies
Hangzhou Wahaha Group,Hangzhou,Zong Qinghou,companies
House of Blues,Los Angeles,John Candy,companies
Lutheran Church-Missouri Synod,St. Louis,C. F. W. Walther,companies
The Christian Science Monitor,Boston,Mary Baker Eddy,companies
Fabian Society,London,Edith Nesbit,companies
Brownstone Productions,California,Elizabeth Banks,companies
Dell Software,Round Rock,Michael Dell,companies
Bloodline Records,New York City,DMX,companies
The Royal Ballet,London,Ninette de Valois,companies
Anadolu Agency,Turkey,Halide Edib Adıvar,companies
Stichting INGKA Foundation,Amsterdam,Ingvar Kamprad,companies
International Society for Krishna Consciousness,Mayapur,A. C. Bhaktivedanta Swami Prabhupada,companies
Shuttleworth Foundation,Durbanville,Mark Shuttleworth,companies
Budapest Festival Orchestra,Óbuda-Békásmegyer,Zoltán Kocsis,companies
Brownstone Productions,Santa Clarita,Elizabeth Banks,companies
Bajaj Group,Pune,Jamnalal Bajaj,companies
Worldwide Pants,New York City,David Letterman,companies
Bajaj Hindusthan Limited,Mumbai,Jamnalal Bajaj,companies
Interogo Foundation,Vaduz,Ingvar Kamprad,companies
Bajaj Auto,Pune,Jamnalal Bajaj,companies
Tupolev,Moscow,Andrei Tupolev,companies
Tupolev,Akademika Tupoleva Embankment,Andrei Tupolev,companies
Genre Films,United States of America,Simon Kinberg,companies
Tarshish,Jerusalem,Moritz Spitzer,companies
