subject,predicate,object,source,validity
gnu,meronym,skull,wordnet/conceptnet,always true
Charles A. Noble,hypernym,person,wikidata,always true
Kelly Hayes,band member,Cold,wikidata,always true
Note Chern-Yim,director,The Holy Man,wikidata,always true
Alberto Arnaut Estrada,director,Hasta los dientes,wikidata,always true
Margaret Sullavan,spouse,William Wyler,wikidata,always true
room,meronym,doorstep,wordnet/conceptnet,always true
Chris,child,Michael Steven Ovitz,wikidata,always true
Petra Cortright,spouse,Marc Horowitz,wikidata,always true
Ian Geer,child,Ed Flanders,wikidata,always true
buffalo,meronym,vacuole,wordnet/conceptnet,always true
Joan McCracken,spouse,Bob Fosse,wikidata,always true
Raney Aronson-Rath,spouse,Arun Rath,wikidata,always true
yak,hypernym,vertebrate,wordnet/conceptnet,always true
Carcass,hypernym,band,wikidata,always true
Maarja Kivi,band member,Vanilla Ninja,wikidata,always true
Brian Alan DeLaney,band member,The Remote Junkies,wikidata,always true
starling,meronym,nucleus,wordnet/conceptnet,always true
Benjamin Arfmann,director,Dismissed,wikidata,always true
garage,meronym,ceiling,wordnet/conceptnet,always true
owl,meronym,snout,wordnet/conceptnet,always true
workbench,hypernym,table,wordnet/conceptnet,always true
Wenn V. Deramas,director,"Girl, Boy, Bakla, Tomboy",wikidata,always true
"Crouching Tiger, Hidden Dragon",hypernym,movie,wikidata,always true
1968,release year,Rosemary's Baby,wikidata,always true
June Walker,hypernym,person,wikidata,always true
Gavin Grazer,hypernym,person,wikidata,always true
mole,hypernym,appearance,wordnet/conceptnet,always true
spider,meronym,eyelid,wordnet/conceptnet,always true
Maurice Gibb,band member,Bee Gees,wikidata,always true
maid,meronym,trait,wordnet/conceptnet,always true
gonorrhea,hypernym,disease,wordnet/conceptnet,always true
gorilla,meronym,cell,wordnet/conceptnet,always true
Harriet Mazel-Szanto,hypernym,person,wikidata,always true
sport,/r/IsA,diversion,conceptnet,always true
NOVA: Building Chernobyl's MegaTomb,hypernym,movie,wikidata,always true
fear,hypernym,feeling,wordnet/conceptnet,always true
Greg MacGillivray,director,National Parks Adventure,wikidata,always true
Nathan Smith Lincoln,hypernym,person,wikidata,always true
Moon Baker,band member,Funky Stuff,wikidata,always true
hind,meronym,jaw,wordnet/conceptnet,always true
celebrity,hypernym,person,wordnet/conceptnet,always true
Kate N. Ball Powers,child,John Ball,wikidata,always true
Carl Smith,spouse,June Carter Cash,wikidata,always true
freezer,hypernym,fridge,wordnet/conceptnet,always true
Delia,spouse,Carl Akeley,wikidata,always true
Norman Lear,hypernym,person,wikidata,always true
Joan Banks,spouse,Frank Lovejoy,wikidata,always true
Ali MacGraw,spouse,Steve McQueen,wikidata,always true
Thulsa Doom,hypernym,band,wikidata,always true
starfish,meronym,clapper,wordnet/conceptnet,always true
Scott Aukerman,director,Between Two Ferns: The Movie,wikidata,always true
bronchitis,hypernym,disease,wordnet/conceptnet,always true
bird,meronym,nucleus,wordnet/conceptnet,always true
cheetah,meronym,vacuole,wordnet/conceptnet,always true
Lance M. Fritz,CEO,Union Pacific,wikidata,always true
Birkan Pusa,director,Düğün Dernek,wikidata,always true
Mercadona,hypernym,company,wikidata,always true
Christmas Wedding Planner,hypernym,movie,wikidata,always true
2016,release year,Concrete Football,wikidata,always true
Benedict Andrews,director,Una,wikidata,always true
Cayman Islands,hypernym,country,wikidata,always true
5 to 7,hypernym,movie,wikidata,always true
American Psychological Association,hypernym,company,wikidata,always true
caterpillar,meronym,nucleus,wordnet/conceptnet,always true
puffin,meronym,brow,wordnet/conceptnet,always true
Laurance Rockefeller,hypernym,person,wikidata,always true
Sumire Yoshida,band member,Silent Siren,wikidata,always true
Harriet Hanson Robinson,hypernym,person,wikidata,always true
Nawapol Thamrongrattanarit,director,BNK48: Girls Don't Cry,wikidata,always true
Ibai Abad,director,The Girl from the Song,wikidata,always true
Thomas Lauderdale,band member,Pink Martini,wikidata,always true
Peter A. Altabef,CEO,Unisys,wikidata,always true
Cleveland,headquarter,KeyCorp,wikidata,always true
OneMain Holdings,hypernym,company,wikidata,always true
"William Jefferson Blythe, Jr.",hypernym,person,wikidata,always true
manor,meronym,storey,wordnet/conceptnet,always true
William P.,child,Samuel Fessenden,wikidata,always true
Dies Irae,hypernym,band,wikidata,always true
Virgin Group,hypernym,company,wikidata,always true
2015,release year,Eddie - Strongman,wikidata,always true
Ellen Weiss,hypernym,person,wikidata,always true
Kawabata Makoto,band member,Acid Mothers Temple,wikidata,always true
Chris Barnes,band member,Six Feet Under,wikidata,always true
Sarah McBride,spouse,Andrew Cray,wikidata,always true
gallery,meronym,wall,wordnet/conceptnet,always true
Benjamin Clark,child,Benjamin Clark Cutler,wikidata,always true
howler,meronym,brow,wordnet/conceptnet,always true
rose,hypernym,bush,wordnet/conceptnet,always true
William Kaufman,director,The Brave,wikidata,always true
Phil Nibbelink,director,An American Tail: Fievel Goes West,wikidata,always true
Alfred Daniel Williams,child,Alberta Williams King,wikidata,always true
Mary Benedict Cushing,spouse,Vincent Astor,wikidata,always true
Kelly Emberg,hypernym,person,wikidata,always true
compound,hypernym,material,wordnet/conceptnet,always true
Bonnie Raitt,spouse,Michael O'Keefe,wikidata,always true
Sam Kass,spouse,Alex Wagner,wikidata,always true
lifeguard,meronym,cell,wordnet/conceptnet,always true
silverfish,hypernym,insect,wordnet/conceptnet,always true
Lois Lenski,hypernym,person,wikidata,always true
Hallie,child,Henry Ephron,wikidata,always true
jockey,hypernym,rider,wordnet/conceptnet,always true
pony,meronym,horseback,wordnet/conceptnet,always true
Josephine,child,Nathan Meeker,wikidata,always true
Carroll Baker,hypernym,person,wikidata,always true
Lauri Tuohimaa,band member,Embraze,wikidata,always true
tavern,hypernym,building,wordnet/conceptnet,always true
Minneapolis,headquarter,Ameriprise Financial,wikidata,always true
Julia Ann,child,Jarvis Andrew Lattin,wikidata,always true
Dragonlord,hypernym,band,wikidata,always true
badger,meronym,vacuole,wordnet/conceptnet,always true
Dean Paul,child,Jeanne Martin,wikidata,always true
Cindy Adams,hypernym,person,wikidata,always true
Bill Kreutzmann,band member,Rhythm Devils,wikidata,always true
Toby Driver,band member,Kayo Dot,wikidata,always true
Pablo St. Francis,band member,aTelecine,wikidata,always true
dolphin,meronym,eyelid,wordnet/conceptnet,always true
Ishqedarriyaan,hypernym,movie,wikidata,always true
Chloe So,band member,As One,wikidata,always true
Charlotte M. Ford,child,Henry Ford II,wikidata,always true
Christina,child,Marian Cannon Schlesinger,wikidata,always true
gondolier,hypernym,worker,wordnet/conceptnet,always true
hound,meronym,ear,wordnet/conceptnet,always true
Henry Jaglom,hypernym,person,wikidata,always true
Bill,child,Felix Browder,wikidata,always true
Luc Vinciguerra,director,Santa's Apprentice,wikidata,always true
Henry,child,Brandon Flowers,wikidata,always true
Petta,hypernym,movie,wikidata,always true
solubility,hypernym,quality,wordnet/conceptnet,always true
ray,meronym,chin,wordnet/conceptnet,always true
Ryan Murphy,director,Eat Pray Love,wikidata,always true
brocade,hypernym,fabric,wordnet/conceptnet,always true
Yvette Szekely,spouse,Max Eastman,wikidata,always true
Emily Williamson,founder,Royal Society for the Protection of Birds,wikidata,always true
John Flansburgh,band member,Mono Puff,wikidata,always true
Pete Candoli,spouse,Edie Adams,wikidata,always true
murderer,hypernym,criminal,wordnet/conceptnet,always true
Margaret J. Winkler,hypernym,person,wikidata,always true
Cognizant,hypernym,company,wikidata,always true
Edelman,hypernym,company,wikidata,always true
Meghnadbodh Rohoshyo,hypernym,movie,wikidata,always true
St. Petersburg,headquarter,Jabil,wikidata,always true
person,/r/Desires,much money,conceptnet,always true
Neko Case,band member,case/lang/veirs,wikidata,always true
chaffinch,meronym,face,wordnet/conceptnet,always true
Wiz Khalifa,hypernym,person,wikidata,always true
Abby Wambach,hypernym,person,wikidata,always true
butterfly,hypernym,animal,wordnet/conceptnet,always true
duke,hypernym,leader,wordnet/conceptnet,always true
Tom Shear,band member,Assemblage 23,wikidata,always true
ray,meronym,skull,wordnet/conceptnet,always true
admiral,meronym,cell,wordnet/conceptnet,always true
Charles Galton,child,Maud Darwin,wikidata,always true
porker,meronym,chest,wordnet/conceptnet,always true
sardine,meronym,eyelid,wordnet/conceptnet,always true
misfit,hypernym,person,wordnet/conceptnet,always true
dog,meronym,cheek,wordnet/conceptnet,always true
Hamara Dil Aapke Paas Hai,hypernym,movie,wikidata,always true
Clay Tweel,director,Print the Legend,wikidata,always true
Subhash Ghai,director,Pardes,wikidata,always true
B. J.,child,Bryant Stith,wikidata,always true
Odd Future,hypernym,band,wikidata,always true
bungalow,meronym,mattress,wordnet/conceptnet,always true
William Bruce,child,William James Almon,wikidata,always true
Lomé,capital,Togo,wikidata,always true
Victor Herrero,CEO,Guess,wikidata,always true
Swiss Army Man,hypernym,movie,wikidata,always true
doggy,meronym,cell,wordnet/conceptnet,always true
"Hugo Black, Jr.",hypernym,person,wikidata,always true
Meghan,child,Frank Marshall,wikidata,always true
Semisonic,hypernym,band,wikidata,always true
person,/r/Desires,time,conceptnet,always true
Giuditta Lescano,band member,Trio Lescano,wikidata,always true
2015,release year,Tremors 5:  Bloodline,wikidata,always true
Nancy Kress,hypernym,person,wikidata,always true
Pizzicato Five,hypernym,band,wikidata,always true
destination,hypernym,location,wordnet/conceptnet,always true
castle,meronym,bathroom,wordnet/conceptnet,always true
Kathy Hilton,hypernym,person,wikidata,always true
sang,hypernym,plant,wordnet/conceptnet,always true
cardamom,hypernym,plant,wordnet/conceptnet,always true
quack-quack,meronym,skull,wordnet/conceptnet,always true
Fedor Lyass,director,Awake,wikidata,always true
walrus,meronym,jaw,wordnet/conceptnet,always true
tablespoon,hypernym,quantity,wordnet/conceptnet,always true
Edith Rockefeller,spouse,Harold Fowler McCormick,wikidata,always true
drone,meronym,nose,wordnet/conceptnet,always true
Valeri,spouse,Candace Cameron Bure,wikidata,always true
hyena,meronym,ear,wordnet/conceptnet,always true
Masters of Reality,hypernym,band,wikidata,always true
motor,/r/IsA,machine,conceptnet,always true
Erie,headquarter,Erie Insurance Group,wikidata,always true
lizard,meronym,cheek,wordnet/conceptnet,always true
Sharon,spouse,Gray Davis,wikidata,always true
David A. Brandon,CEO,Toys 'R'ù Us,wikidata,always true
clock,/r/CapableOf,continue ticking,conceptnet,always true
whit,hypernym,quantity,wordnet/conceptnet,always true
crab,meronym,nose,wordnet/conceptnet,always true
oak,hypernym,wood,wordnet/conceptnet,always true
Donna,child,Edward Zuckerberg,wikidata,always true
Bertie Ison Martin Conley,hypernym,person,wikidata,always true
Frances Payne Bingham,spouse,Chester C. Bolton,wikidata,always true
Nate Grey,child,Cyclops,wikidata,always true
Kathleen McCrone,spouse,Wayne Newton,wikidata,always true
cattle,meronym,head,wordnet/conceptnet,always true
Chelsea Tyler,child,Teresa Barrick,wikidata,always true
basil,hypernym,plant,wordnet/conceptnet,always true
father,hypernym,individual,wordnet/conceptnet,always true
mosque,meronym,floor,wordnet/conceptnet,always true
beech,meronym,nucleus,wordnet/conceptnet,always true
Brix Smith,band member,The Adult Net,wikidata,always true
Francesco Imperato,director,Saverio Raimondo: Il Satiro Parlante,wikidata,always true
blackbird,meronym,tail,wordnet/conceptnet,always true
Kennedy Rose,hypernym,band,wikidata,always true
Rick Buckler,band member,Sharp,wikidata,always true
giraffe,meronym,hoof,wordnet/conceptnet,always true
1956,release year,Forbidden Planet,wikidata,always true
Kerry Livgren,band member,AD,wikidata,always true
technician,meronym,cell,wordnet/conceptnet,always true
horse,/r/CapableOf,jump fence,conceptnet,always true
Dabbe 5: Zehr-i Cin,hypernym,movie,wikidata,always true
puffin,meronym,nucleus,wordnet/conceptnet,always true
Blackjack Mulligan,hypernym,person,wikidata,always true
stowaway,meronym,cell,wordnet/conceptnet,always true
bunk,hypernym,furniture,wordnet/conceptnet,always true
Catherine Van Rensselaer,hypernym,person,wikidata,always true
Bill Joy,founder,Sun Microsystems,wikidata,always true
crocus,meronym,vacuole,wordnet/conceptnet,always true
Burlington,headquarter,Laboratory Corp. of America,wikidata,always true
bit,hypernym,quantity,wordnet/conceptnet,always true
bathroom,meronym,floor,wordnet/conceptnet,always true
woman,meronym,trait,wordnet/conceptnet,always true
Baek Chan,band member,8Eight,wikidata,always true
Justine Maurer,hypernym,person,wikidata,always true
Josephine Baker,spouse,"John Drew, Jr.",wikidata,always true
Timo Tolkki,band member,Allen-Lande,wikidata,always true
rowan,meronym,xylem,wordnet/conceptnet,always true
bedroom,meronym,ceiling,wordnet/conceptnet,always true
Anthony Russo,director,Avengers: Infinity War,wikidata,always true
Vanessa Nadal,spouse,Lin-Manuel Miranda,wikidata,always true
wagtail,meronym,brain,wordnet/conceptnet,always true
stable,meronym,stall,wordnet/conceptnet,always true
Neal Brennan: 3 Mics,hypernym,movie,wikidata,always true
Harry Einstein,hypernym,person,wikidata,always true
skull,hypernym,bone,wordnet/conceptnet,always true
Noriyuki Abe,director,Bleach The Movie: Fade to Black,wikidata,always true
Michele Scheveger,band member,The C.I.P,wikidata,always true
Nuuk,capital,Greenland,wikidata,always true
Deborah Walley,spouse,John Ashley,wikidata,always true
Hiram Bingham III,hypernym,person,wikidata,always true
slug,hypernym,animal,wordnet/conceptnet,always true
Kerry Butler,hypernym,person,wikidata,always true
Jonas Max Ferris,spouse,Dagen McDowell,wikidata,always true
wren,meronym,snout,wordnet/conceptnet,always true
rhino,meronym,brain,wordnet/conceptnet,always true
woman,meronym,vacuole,wordnet/conceptnet,always true
Conrad Hughes,child,Kathy Hilton,wikidata,always true
Wish I Was Here,hypernym,movie,wikidata,always true
steed,meronym,skull,wordnet/conceptnet,always true
Union,headquarter,Bed Bath & Beyond,wikidata,always true
superman,hypernym,individual,wordnet/conceptnet,always true
python,hypernym,reptile,wordnet/conceptnet,always true
Patrick Joseph McGovern,founder,IDG,wikidata,always true
Greg C. Gantt,CEO,Old Dominion Freight Line,wikidata,always true
Martha Frick Symington Sanger,child,Martha Howard Symington,wikidata,always true
Helen,spouse,James J. Storrow,wikidata,always true
2006,release year,Deadline: Sirf 24 Ghante,wikidata,always true
Lasse,child,Paul Weeden,wikidata,always true
lizard,/r/CapableOf,sun itself on rock,conceptnet,always true
Hiroyuki Seshita,director,BLAME!,wikidata,always true
ray,meronym,tail,wordnet/conceptnet,always true
Aura Estrada,spouse,Francisco Goldman,wikidata,always true
1898: Our Last Men in the Philippines,hypernym,movie,wikidata,always true
Clara McMillen,spouse,Alfred Kinsey,wikidata,always true
plaice,meronym,nucleus,wordnet/conceptnet,always true
Jon Carey,director,Forbidden Games: The Justin Fashanu Story,wikidata,always true
Nicky Mehta,band member,The Wailin' Jennys,wikidata,always true
Andy Scott,band member,The Sweet,wikidata,always true
Newell Brands,hypernym,company,wikidata,always true
steed,meronym,brain,wordnet/conceptnet,always true
pigeon,meronym,clapper,wordnet/conceptnet,always true
2005,release year,Insan,wikidata,always true
rooster,meronym,face,wordnet/conceptnet,always true
brunch,meronym,food,wordnet/conceptnet,always true
rabbit,meronym,cell,wordnet/conceptnet,always true
Cornelia Adair,child,James S. Wadsworth,wikidata,always true
Luther Halsey Gulick,child,"Luther Halsey Gulick, Sr.",wikidata,always true
Constanza Romero,spouse,August Wilson,wikidata,always true
barn,meronym,hinge,wordnet/conceptnet,always true
Scanch,hypernym,band,wikidata,always true
nose,/r/IsA,smell,conceptnet,always true
A Remarkable Tale,hypernym,movie,wikidata,always true
Nancy P.,spouse,William Clark Helmbold,wikidata,always true
Maynard James Keenan,band member,Puscifer,wikidata,always true
Harold G. Hamm,CEO,Continental Resources,wikidata,always true
mynah,meronym,vacuole,wordnet/conceptnet,always true
Susie Coelho,spouse,Sonny Bono,wikidata,always true
Glenn L. Kellow,CEO,Peabody Energy,wikidata,always true
Billie Letts,hypernym,person,wikidata,always true
creepy-crawly,meronym,clapper,wordnet/conceptnet,always true
piglet,meronym,chin,wordnet/conceptnet,always true
Silk Spectre,spouse,Nite Owl II,wikidata,always true
Boom,hypernym,movie,wikidata,always true
2013,release year,Düğün Dernek,wikidata,always true
brass,hypernym,decoration,wordnet/conceptnet,always true
Maya Postepski,band member,TR/ST,wikidata,always true
Calvin Galusha Coolidge,hypernym,person,wikidata,always true
Rudolf Sonneborn,spouse,Dorothy Schiff,wikidata,always true
William Franklin,child,Sarah Franklin Bache,wikidata,always true
book,/r/IsA,product,conceptnet,always true
Mina Caputo,band member,Life of Agony,wikidata,always true
The Wedding Present,hypernym,band,wikidata,always true
Guinea,hypernym,country,wikidata,always true
Gaston Caperton,spouse,Rachael Worby,wikidata,always true
Gray Davis,hypernym,person,wikidata,always true
bruiser,meronym,cell,wordnet/conceptnet,always true
Joyce F. Brown,hypernym,person,wikidata,always true
4 Non Blondes,hypernym,band,wikidata,always true
jaguar,meronym,vacuole,wordnet/conceptnet,always true
Xavier Durringer,director,Paradise Beach,wikidata,always true
assistant,meronym,trait,wordnet/conceptnet,always true
Jack Irons,band member,What Is This,wikidata,always true
Grace Stafford,hypernym,person,wikidata,always true
Gerald Casale,band member,Jihad Jerry & the Evildoers,wikidata,always true
chrysalis,meronym,brow,wordnet/conceptnet,always true
Bloomberg L.P.,hypernym,company,wikidata,always true
counter,hypernym,person,wordnet/conceptnet,always true
Mark Tremonti,band member,Alter Bridge,wikidata,always true
Bo Hansson,band member,Hansson & Karlsson,wikidata,always true
llama,meronym,face,wordnet/conceptnet,always true
person,/r/Desires,hot meal,conceptnet,always true
Paris Jackson,child,Debbie Rowe,wikidata,always true
stud,meronym,organelle,wordnet/conceptnet,always true
Constance Bennett,child,Adrienne Morrison,wikidata,always true
Matthew Griswold,hypernym,person,wikidata,always true
Billy,child,Lillian Gordy Carter,wikidata,always true
manor,meronym,base,wordnet/conceptnet,always true
Barbara Piasecka Johnson,spouse,John Seward Johnson I,wikidata,always true
Peter,child,Janina Milosz,wikidata,always true
Janice Rule,spouse,Ben Gazzara,wikidata,always true
Yuri Nakamura,band member,Garnet Crow,wikidata,always true
Clare Rojas,spouse,Barry McGee,wikidata,always true
vole,meronym,nucleus,wordnet/conceptnet,always true
GL Events,hypernym,company,wikidata,always true
Julia Della Romilly,child,Jessica Mitford,wikidata,always true
Lee,child,Nancy Lee Bass,wikidata,always true
mynah,hypernym,vertebrate,wordnet/conceptnet,always true
beard,hypernym,covering,wordnet/conceptnet,always true
Susan Bernard,hypernym,person,wikidata,always true
Paul Banks,band member,Interpol,wikidata,always true
Trimble,hypernym,company,wikidata,always true
Mary Barr,child,Cassius M. Clay,wikidata,always true
gondola,meronym,brake,wordnet/conceptnet,always true
bat,meronym,lip,wordnet/conceptnet,always true
humus,hypernym,earth,wordnet/conceptnet,always true
New York,headquarter,Omnicom Group,wikidata,always true
John Ellis,band member,Bazooka Joe,wikidata,always true
dolphin,meronym,mouth,wordnet/conceptnet,always true
Maia,band member,Vanilla Beans,wikidata,always true
person,/r/Desires,experience,conceptnet,always true
Christina Malman,spouse,Dexter Masters,wikidata,always true
Mark Zoradi,CEO,Cinemark Holdings,wikidata,always true
flour,meronym,food,wordnet/conceptnet,always true
affect,hypernym,feeling,wordnet/conceptnet,always true
dog,/r/Desires,affection,conceptnet,always true
bramble,meronym,organelle,wordnet/conceptnet,always true
Eunhyuk,band member,Super Junior Donghae & Eunhyuk,wikidata,always true
Donald,spouse,Nancy Schön,wikidata,always true
painting,/r/PartOf,construction,conceptnet,always true
Benjamin Grubb Humphreys II,hypernym,person,wikidata,always true
Kuwait,hypernym,country,wikidata,always true
Jerry Trimble,spouse,Ami Dolenz,wikidata,always true
Old Republic International,hypernym,company,wikidata,always true
2017,release year,This Is Not What I Expected,wikidata,always true
louse,meronym,face,wordnet/conceptnet,always true
2016,release year,Dark Chocolate (Bengali Version),wikidata,always true
flag,/r/IsA,paving stone,conceptnet,always true
screening,hypernym,fabric,wordnet/conceptnet,always true
Doron Paz,director,The Golem,wikidata,always true
tyrannosaurus,meronym,eye,wordnet/conceptnet,always true
Portugal,hypernym,country,wikidata,always true
music,/r/CapableOf,sound good,conceptnet,always true
Kate del Castillo,hypernym,person,wikidata,always true
walrus,meronym,skull,wordnet/conceptnet,always true
unfortunate,hypernym,person,wordnet/conceptnet,always true
commodity,/r/IsA,artifact,conceptnet,always true
python,meronym,vacuole,wordnet/conceptnet,always true
George Cram Cook,spouse,Susan Glaspell,wikidata,always true
willet,hypernym,bird,wordnet/conceptnet,always true
Anne Morrow Lindbergh,hypernym,person,wikidata,always true
Mark Getty,child,John Paul Getty Jr.,wikidata,always true
light,hypernym,radiation,wordnet/conceptnet,always true
Artemis Joukowsky,director,Defying the Nazis: The Sharps' War,wikidata,always true
Pagan Babies,hypernym,band,wikidata,always true
Dorothy Malone,hypernym,person,wikidata,always true
Jay Chapman,director,Iliza Shlesinger: War Paint,wikidata,always true
Victoria Grayson,hypernym,person,wikidata,always true
Binary Star,hypernym,band,wikidata,always true
Carrie Brownstein,band member,Sleater-Kinney,wikidata,always true
gazelle,meronym,vacuole,wordnet/conceptnet,always true
Redmond,child,Ryan O'Neal,wikidata,always true
"2,215",hypernym,movie,wikidata,always true
Pink Martini,hypernym,band,wikidata,always true
Bob Gosse,spouse,Robin Tunney,wikidata,always true
2008,release year,Pocoyo & The Space Circus,wikidata,always true
plover,hypernym,bird,wordnet/conceptnet,always true
Alan Percy Cunliffe,spouse,Malvina Longfellow,wikidata,always true
Jack Starr,band member,Jack Starr's Burning Starr,wikidata,always true
Chris Barnes,band member,Torture Killer,wikidata,always true
hospital,meronym,doorway,wordnet/conceptnet,always true
James Graham Fair,hypernym,person,wikidata,always true
Raj Nidimoru,director,Shor In the City,wikidata,always true
starling,meronym,wing,wordnet/conceptnet,always true
DeVotchKa,hypernym,band,wikidata,always true
2019,release year,"Ken Jeong: You Complete Me, Ho",wikidata,always true
Brian T. Moynihan,CEO,Bank of America Corp.,wikidata,always true
David Chavchavadze,hypernym,person,wikidata,always true
budgerigar,meronym,lip,wordnet/conceptnet,always true
Thimphu,capital,Bhutan,wikidata,always true
"Jack Haley, Jr.",spouse,Liza Minnelli,wikidata,always true
dill,hypernym,herb,wordnet/conceptnet,always true
Phoebe Brand,spouse,Morris Carnovsky,wikidata,always true
Imperial Teen,hypernym,band,wikidata,always true
conductor,/r/IsA,musician,conceptnet,always true
person,/r/Desires,mankind to explore universe,conceptnet,always true
David,child,William Sloane Coffin,wikidata,always true
gin,hypernym,food,wordnet/conceptnet,always true
Georgia May Jagger,child,Jerry Hall,wikidata,always true
2019,release year,A Remarkable Tale,wikidata,always true
The Mother,spouse,Ted Mosby,wikidata,always true
Scritti Politti,hypernym,band,wikidata,always true
rectangle,/r/IsA,parallelogram,conceptnet,always true
2014,release year,Happy Go Lucky,wikidata,always true
Brian Fallon,band member,The Gaslight Anthem,wikidata,always true
2016,release year,Kalushi: The Story of Solomon Mahlangu,wikidata,always true
Robert Tomarkin,spouse,Dorothy Malone,wikidata,always true
Lex Luthor,hypernym,person,wikidata,always true
Daniel DiMauro,director,Get Me Roger Stone,wikidata,always true
Robin Ficker,hypernym,person,wikidata,always true
chipmunk,meronym,tail,wordnet/conceptnet,always true
worm,meronym,clapper,wordnet/conceptnet,always true
2009,release year,A Serious Man,wikidata,always true
Nancy Wheeler Jenkins,spouse,Larry Ellison,wikidata,always true
trawler,hypernym,fisher,wordnet/conceptnet,always true
narcotic,hypernym,drug,wordnet/conceptnet,always true
radiation,/r/IsA,natural process,conceptnet,always true
Whitney Duncan MacMillan,hypernym,person,wikidata,always true
Peter Lanza,hypernym,person,wikidata,always true
Richard Boone,child,Richard Cheatham,wikidata,always true
toucan,meronym,face,wordnet/conceptnet,always true
Adoniram Judson,hypernym,person,wikidata,always true
Bollywood Calling,hypernym,movie,wikidata,always true
temperature,/r/IsA,somesthesia,conceptnet,always true
steed,meronym,brow,wordnet/conceptnet,always true
Sandra Lerner,founder,Cisco Systems,wikidata,always true
DeMarco Murray,spouse,Heidi Mueller,wikidata,always true
New York Giants,super bowl winner,2012,wikidata,always true
2018,release year,Like Father,wikidata,always true
David O. Russell,director,The Fighter,wikidata,always true
Mimi Maynard,spouse,James Keach,wikidata,always true
Edward Bechly,hypernym,person,wikidata,always true
Steve Carr,director,Middle School: The Worst Years of My Life,wikidata,always true
goldfish,meronym,eye,wordnet/conceptnet,always true
Ann Louisa Baring,child,Ann Willing Bingham,wikidata,always true
restaurant,meronym,base,wordnet/conceptnet,always true
Keoni Waxman,director,Hunt to Kill,wikidata,always true
Alison,child,Betye Saar,wikidata,always true
game,meronym,chin,wordnet/conceptnet,always true
David Dietz,director,"Les Bleus - Une autre histoire de France, 1996-2016",wikidata,always true
Dallas Cowboys,super bowl loser,1976,wikidata,always true
Marcus,child,Michael Jordan,wikidata,always true
Patterson,child,David Hood,wikidata,always true
Keith,child,David Palmer,wikidata,always true
football,/r/IsA,sport people play,conceptnet,always true
rooster,meronym,nose,wordnet/conceptnet,always true
Rhoeyce,child,Candy Carson,wikidata,always true
Mauritania,hypernym,country,wikidata,always true
Melissa Rauch,hypernym,person,wikidata,always true
2017,release year,Bad Day for the Cut,wikidata,always true
patch,hypernym,fabric,wordnet/conceptnet,always true
Greg Dulli,band member,The Gutter Twins,wikidata,always true
Marcus Goldman,hypernym,person,wikidata,always true
wife,meronym,vacuole,wordnet/conceptnet,always true
Miko Castaneda Brando,child,Movita Castaneda,wikidata,always true
Jamie Denbo,spouse,John Ross Bowie,wikidata,always true
James Dewees,band member,Reggie and the Full Effect,wikidata,always true
Curtis Hertel Jr,child,Curtis Hertel,wikidata,always true
Felicity Barringer,spouse,Philip Taubman,wikidata,always true
Nora M. Finn,hypernym,person,wikidata,always true
Qila,hypernym,movie,wikidata,always true
Burnett Peter Van Deusen,hypernym,person,wikidata,always true
Adolphe Menjou,hypernym,person,wikidata,always true
Mary Elizabeth Mastrantonio,hypernym,person,wikidata,always true
Dandridge MacFarlan Cole,child,Robert MacFarlan Cole III,wikidata,always true
Providence,headquarter,United Natural Foods,wikidata,always true
intermediate,hypernym,chemical,wordnet/conceptnet,always true
horse,/r/CapableOf,pull cart,conceptnet,always true
football,/r/IsA,field game,conceptnet,always true
donkey,meronym,vacuole,wordnet/conceptnet,always true
Cristina,spouse,Russell A. Mittermeier,wikidata,always true
2008,release year,Verses of Love,wikidata,always true
Jerry Aiello,band member,Pacific Gas & Electric,wikidata,always true
Daniel M. Lavery,child,John Ortberg,wikidata,always true
grasshopper,meronym,skull,wordnet/conceptnet,always true
spider,/r/IsA,frying pan,conceptnet,always true
Christopher,child,Guido Münch,wikidata,always true
Lana Wachowski,director,The Matrix Reloaded,wikidata,always true
heaven,hypernym,region,wordnet/conceptnet,always true
Damascus,capital,Syria,wikidata,always true
Kaya Ploss Mirecka,hypernym,person,wikidata,always true
Headwinds,hypernym,movie,wikidata,always true
Toshi Ichiyanagi,spouse,Yoko Ono,wikidata,always true
otter,meronym,jaw,wordnet/conceptnet,always true
Afghanistan,hypernym,country,wikidata,always true
Chicago,headquarter,Equity Residential,wikidata,always true
Patsy Bullitt Collins,child,A. Scott Bullitt,wikidata,always true
Margaret,child,Bess Truman,wikidata,always true
stretch,hypernym,shape,wordnet/conceptnet,always true
Stanley Watson,spouse,Huda Akil,wikidata,always true
fighter,hypernym,person,wordnet/conceptnet,always true
Ruby,hypernym,band,wikidata,always true
Alan Saldaña: Mi vida de pobre,hypernym,movie,wikidata,always true
Iñaki Dorronsoro,director,Getaway Plan,wikidata,always true
Elsie Foster,child,Alexander Cassatt,wikidata,always true
Emanuel Chirico,CEO,PVH,wikidata,always true
bag,/r/CapableOf,carry groceries,conceptnet,always true
Sofia,capital,Bulgaria,wikidata,always true
Hernán Belón,director,Tiger,wikidata,always true
Brentwood,headquarter,Delek US Holdings,wikidata,always true
New York,headquarter,New York Life Insurance,wikidata,always true
Susan N. Story,CEO,American Water Works,wikidata,always true
